,county,district_name,instruction,support,community,other,sum,year
636,WASHINGTON,OTIS R-3,,,,,,2011
637,Amount,,"1,359,455","945,882",0,"60,970","2,366,307",2011
638,Per Pupil,186.7 ," 7,281 "," 5,066 ", 0 , 327 ," 12,674 ",2011
639,All Funds,,57.5 ,40.0 ,0.0 ,2.6 ,100.0 ,2011
640,WASHINGTON,LONE STAR 101,,,,,,2011
641,Amount,,"1,093,754","579,025",0,0,"1,672,779",2011
642,Per Pupil,107.0 ," 10,222 "," 5,411 ", 0 , 0 ," 15,633 ",2011
643,All Funds,,65.4 ,34.6 ,0.0 ,0.0 ,100.0 ,2011
644,WASHINGTON,WOODLIN R-104,,,,,,2011
645,Amount,,"807,893","887,833",0,0,"1,695,726",2011
646,Per Pupil,94.8 ," 8,522 "," 9,365 ", 0 , 0 ," 17,887 ",2011
647,All Funds,,47.6 ,52.4 ,0.0 ,0.0 ,100.0 ,2011
648,WELD,WELD RE-1,,,,,,2011
649,Amount,,"9,019,282","6,744,292","10,479","263,346","16,037,399",2011
650,Per Pupil,"1,811.3 "," 4,979 "," 3,723 ", 6 , 145 ," 8,854 ",2011
651,All Funds,,56.2 ,42.1 ,0.1 ,1.6 ,100.0 ,2011
652,WELD,EATON RE-2,,,,,,2011
653,Amount,,"8,270,163","5,158,925","3,765","1,863,129","15,295,982",2011
654,Per Pupil,"1,749.9 "," 4,726 "," 2,948 ", 2 ," 1,065 "," 8,741 ",2011
655,All Funds,,54.1 ,33.7 ,0.0 ,12.2 ,100.0 ,2011
656,WELD,KEENESBURG RE-3(J),,,,,,2011
657,Amount,,"10,633,504","8,906,912","5,660","5,160,832","24,706,908",2011
658,Per Pupil,"2,143.3 "," 4,961 "," 4,156 ", 3 ," 2,408 "," 11,528 ",2011
659,All Funds,,43.0 ,36.1 ,0.0 ,20.9 ,100.0 ,2011
660,WELD,WINDSOR RE-4,,,,,,2011
661,Amount,,"20,493,490","14,730,715",254,"8,478,417","43,702,876",2011
662,Per Pupil,"4,315.9 "," 4,748 "," 3,413 ", 0 ," 1,964 "," 10,126 ",2011
663,All Funds,,46.9 ,33.7 ,0.0 ,19.4 ,100.0 ,2011
664,WELD,JOHNSTOWN-MILIKEN RE-5J,,,,,,2011
665,Amount,,"15,004,367","8,221,519",0,"10,608,726","33,834,613",2011
666,Per Pupil,"3,075.9 "," 4,878 "," 2,673 ", 0 ," 3,449 "," 11,000 ",2011
667,All Funds,,44.3 ,24.3 ,0.0 ,31.4 ,100.0 ,2011
668,WELD,GREELEY 6,,,,,,2011
669,Amount,,"92,539,792","62,230,656",0,"15,832,408","170,602,855",2011
670,Per Pupil,"18,882.0 "," 4,901 "," 3,296 ", 0 , 838 ," 9,035 ",2011
671,All Funds,,54.2 ,36.5 ,0.0 ,9.3 ,100.0 ,2011
672,WELD,PLATTE VALLEY RE-7,,,,,,2011
673,Amount,,"6,098,358","5,257,553",0,"2,343,028","13,698,939",2011
674,Per Pupil,"1,104.2 "," 5,523 "," 4,761 ", 0 ," 2,122 "," 12,406 ",2011
675,All Funds,,44.5 ,38.4 ,0.0 ,17.1 ,100.0 ,2011
676,WELD,WELD COUNTY S/D RE-8,,,,,,2011
677,Amount,,"11,481,392","10,651,369","21,088","1,013,660","23,167,509",2011
678,Per Pupil,"2,280.4 "," 5,035 "," 4,671 ", 9 , 445 ," 10,159 ",2011
679,All Funds,,49.6 ,46.0 ,0.1 ,4.4 ,100.0 ,2011
680,WELD,AULT-HIGHLAND RE-9,,,,,,2011
681,Amount,,"4,137,867","3,099,750",0,"763,505","8,001,121",2011
682,Per Pupil,831.5 ," 4,976 "," 3,728 ", 0 , 918 ," 9,623 ",2011
683,All Funds,,51.7 ,38.7 ,0.0 ,9.5 ,100.0 ,2011
684,WELD,BRIGGSDALE RE-10,,,,,,2011
685,Amount,,"1,233,274","981,046",0,"4,309,302","6,523,622",2011
686,Per Pupil,147.3 ," 8,373 "," 6,660 ", 0 ," 29,255 "," 44,288 ",2011
687,All Funds,,18.9 ,15.0 ,0.0 ,66.1 ,100.0 ,2011
688,WELD,PRAIRIE RE-11,,,,,,2011
689,Amount,,"1,274,206","897,036",0,"901,575","3,072,817",2011
690,Per Pupil,163.9 ," 7,774 "," 5,473 ", 0 ," 5,501 "," 18,748 ",2011
691,All Funds,,41.5 ,29.2 ,0.0 ,29.3 ,100.0 ,2011
692,WELD,PAWNEE RE-12,,,,,,2011
693,Amount,,"1,175,964","845,990",0,"66,448","2,088,402",2011
694,Per Pupil,95.4 ," 12,327 "," 8,868 ", 0 , 697 ," 21,891 ",2011
695,All Funds,,56.3 ,40.5 ,0.0 ,3.2 ,100.0 ,2011
696,YUMA,YUMA 1,,,,,,2011
697,Amount,,"4,593,836","3,283,200",659,"3,774,114","11,651,810",2011
698,Per Pupil,782.9 ," 5,868 "," 4,194 ", 1 ," 4,821 "," 14,883 ",2011
699,All Funds,,39.4 ,28.2 ,0.0 ,32.4 ,100.0 ,2011
700,YUMA,WRAY RD-2,,,,,,2011
701,Amount,,"3,735,725","2,942,154",0,"994,744","7,672,623",2011
702,Per Pupil,670.4 ," 5,572 "," 4,389 ", 0 ," 1,484 "," 11,445 ",2011
703,All Funds,,48.7 ,38.3 ,0.0 ,13.0 ,100.0 ,2011
704,YUMA,IDALIA RJ-3,,,,,,2011
705,Amount,,"1,115,415","829,568",0,"1,113,957","3,058,941",2011
706,Per Pupil,137.3 ," 8,124 "," 6,042 ", 0 ," 8,113 "," 22,279 ",2011
707,All Funds,,36.5 ,27.1 ,0.0 ,36.4 ,100.0 ,2011
708,YUMA,LIBERTY J-4,,,,,,2011
709,Amount,,"1,033,616","704,354",0,0,"1,737,970",2011
710,Per Pupil,82.0 ," 12,605 "," 8,590 ", 0 , 0 ," 21,195 ",2011
711,All Funds,,59.5 ,40.5 ,0.0 ,0.0 ,100.0 ,2011
712,,CHARTER SCHOOL INSTITUTE,,,,,,2011
713,Amount,,"35,842,798","29,870,470","34,733","11,932,555","77,680,555",2011
714,Per Pupil,"10,126.9 "," 3,539 "," 2,950 ", 3 ," 1,178 "," 7,671 ",2011
715,All Funds,,46.1 ,38.5 ,0.0 ,15.4 ,100.0 ,2011
716,,GLOBAL VILLAGE CHARTER COLLABORATIVE,,,,,,2011
717,Amount,,"48,798","579,751",0,"78,063","5,028,441",2011
718,Per Pupil,,,,,,,2011
719,All Funds,,1.0 ,11.5 ,0.0 ,1.6 ,100.0 ,2011
720,,EAST CENTRAL BOCES,,,,,,2011
721,Amount,,"5,070,301","3,595,005",0,0,"8,665,306",2011
722,All Funds,,58.5 ,41.5 ,0.0 ,0.0 ,100.0 ,2011
723,,MOUNTAIN BOCES,,,,,,2011
724,Amount,,"6,044,830","6,393,172","13,850","129,147","12,580,999",2011
725,All Funds,,48.0 ,50.8 ,0.1 ,1.0 ,100.0 ,2011
726,,CENTENNIAL BOCES,,,,,,2011
727,Amount,,"3,090,852","8,125,222","197,919","216,797","11,630,791",2011
728,All Funds,,26.6 ,69.9 ,1.7 ,1.9 ,100.0 ,2011
729,,NORTHEAST BOCES,,,,,,2011
730,Amount,,"2,140,660","2,807,146","2,572","78,063","5,028,441",2011
731,All Funds,,42.6 ,55.8 ,0.1 ,1.6 ,100.0 ,2011
732,,PIKES PEAK BOCES,,,,,,2011
733,Amount,,"6,185,482","3,696,594",0,"70,580","9,952,657",2011
734,All Funds,,62.1 ,37.1 ,0.0 ,0.7 ,100.0 ,2011
735,,SAN JUAN BOCES,,,,,,2011
736,Amount,,"3,214,132","4,298,108",0,"229,141","7,741,381",2011
737,All Funds,,41.5 ,55.5 ,0.0 ,3.0 ,100.0 ,2011
738,,SAN LUIS VALLEY BOCES,,,,,,2011
739,Amount,,"1,683,431","2,473,356","379,619",0,"4,536,406",2011
740,All Funds,,37.1 ,54.5 ,8.4 ,0.0 ,100.0 ,2011
741,,SOUTH CENTRAL BOCES,,,,,,2011
742,Amount,,"1,124,437","3,205,706","66,915","192,593","4,589,650",2011
743,All Funds,,24.5 ,69.8 ,1.5 ,4.2 ,100.0 ,2011
744,,SOUTHEASTERN BOCES,,,,,,2011
745,Amount,,"701,490","1,775,972",0,0,"2,477,462",2011
746,All Funds,,28.3 ,71.7 ,0.0 ,0.0 ,100.0 ,2011
747,,NORTHWEST BOCES,,,,,,2011
748,Amount,,"1,157,828","2,007,971",0,"40,638","3,206,436",2011
749,All Funds,,36.1 ,62.6 ,0.0 ,1.3 ,100.0 ,2011
750,,ADAMS COUNTY BOCES,,,,,,2011
751,Amount,,0,"648,153",0,0,"648,153",2011
752,All Funds,,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,2011
753,,RIO BLANCO BOCES,,,,,,2011
754,Amount,,"1,271,538","610,187",0,0,"1,881,725",2011
755,All Funds,,67.6 ,32.4 ,0.0 ,0.0 ,100.0 ,2011
756,,EXPEDITIONARY BOCES,,,,,,2011
757,Amount,,"2,331,017","537,679",0,0,"2,868,696",2011
758,All Funds,,81.3 ,18.7 ,0.0 ,0.0 ,100.0 ,2011
759,,GRAND VALLEY BOCES,,,,,,2011
760,Amount,,"1,126,167","1,472,916","29,495","29,589","2,658,167",2011
761,All Funds,,42.4 ,55.4 ,1.1 ,1.1 ,100.0 ,2011
762,,MT EVANS BOCES,,,,,,2011
763,Amount,,"926,042","182,574",0,0,"1,108,616",2011
764,All Funds,,83.5 ,16.5 ,0.0 ,0.0 ,100.0 ,2011
765,,UNCOMPAHGRE BOCES,,,,,,2011
766,Amount,,"360,010","592,729",0,"14,251","966,989",2011
767,All Funds,,37.2 ,61.3 ,0.0 ,1.5 ,100.0 ,2011
768,,SANTA FE TRAIL BOCES,,,,,,2011
769,Amount,,"1,006,058","1,212,776",0,0,"2,218,834",2011
770,All Funds,,45.3 ,54.7 ,0.0 ,0.0 ,100.0 ,2011
771,,FRONT RANGE BOCES,,,,,,2011
772,Amount,,0,0,0,0,0,2011
773,All Funds,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2011
774,,UTE PASS BOCES,,,,,,2011
775,Amount,,"2,413,787","229,664",0,0,"2,643,451",2011
776,All Funds,,91.3 ,8.7 ,0.0 ,0.0 ,100.0 ,2011
777,DISTRICT/CSI TOTALS,,,,,,,2011
778,Amount,,"4,327,817,793","3,034,704,655","48,055,913","2,851,477,120","10,262,055,481",2011
779,Per Pupil,"808,138.8 "," 5,355 "," 3,755 ", 59 ," 3,528 "," 12,698 ",2011
780,All Funds,,42.2 ,29.6 ,0.5 ,27.8 ,100.0 ,2011
781,BOCES/COLLABORATIVE TOTALS,,,,,,,2011
782,Amount,,"39,896,860","44,444,681","690,370","1,078,861","90,432,601",2011
783,All Funds,,44.1 ,49.1 ,0.8 ,1.2 ,100.0 ,2011
784,STATE TOTALS,,,,,,,2011
785,Amount,,"4,367,714,653","3,079,149,336","48,746,283","2,852,555,981","10,348,166,253",2011
786,Per Pupil,"808,138.8 "," 5,405 "," 3,810 ", 60 ," 3,530 "," 12,805 ",2011
787,All Funds,,42.2 ,29.8 ,0.5 ,27.6 ,100.0 ,2011
0,ADAMS,MAPLETON 1,,,,,,2012
1,Amount,,"38,592,373","25,709,054","779,878","4,153,285","69,234,590",2012
2,Per Pupil,,"5,081","3,385",103,547,"9,115",2012
3,All Funds,,55.7 ,37.1 ,1.1 ,6.0 ,100.0 ,2012
4,ADAMS,ADAMS 12 FIVE STAR,,,,,,2012
5,Amount,,"221,051,769","120,585,070","1,335,918","51,372,445","394,345,203",2012
6,Per Pupil,,"5,347","2,917",32,"1,243","9,538",2012
7,All Funds,,56.1 ,30.6 ,0.3 ,13.0 ,100.0 ,2012
8,ADAMS,ADAMS COUNTY 14,,,,,,2012
9,Amount,,"38,196,626","36,456,267","413,091","77,970,868","153,036,852",2012
10,Per Pupil,,"5,516","5,265",60,"11,260","22,100",2012
11,All Funds,,25.0 ,23.8 ,0.3 ,50.9 ,100.0 ,2012
12,ADAMS,BRIGHTON 27J,,,,,,2012
13,Amount,,"67,423,272","52,627,926","247,509","24,647,115","144,945,822",2012
14,Per Pupil,,"4,392","3,428",16,"1,605","9,441",2012
15,All Funds,,46.5 ,36.3 ,0.2 ,17.0 ,100.0 ,2012
16,ADAMS,BENNETT 29J,,,,,,2012
17,Amount,,"4,894,710","3,252,791",0,"988,729","9,136,230",2012
18,Per Pupil,,"4,766","3,167",0,963,"8,895",2012
19,All Funds,,53.6 ,35.6 ,0.0 ,10.8 ,100.0 ,2012
20,ADAMS,STRASBURG 31J,,,,,,2012
21,Amount,,"4,710,647","3,332,579",0,"915,163","8,958,388",2012
22,Per Pupil,,"4,969","3,515",0,965,"9,449",2012
23,All Funds,,52.6 ,37.2 ,0.0 ,10.2 ,100.0 ,2012
24,ADAMS,WESTMINSTER 50,,,,,,2012
25,Amount,,"51,056,308","43,443,024","314,038","90,681,536","185,494,906",2012
26,Per Pupil,,"5,359","4,560",33,"9,519","19,472",2012
27,All Funds,,27.5 ,23.4 ,0.2 ,48.9 ,100.0 ,2012
28,ALAMOSA,ALAMOSA RE-11J,,,,,,2012
29,Amount,,"10,151,109","6,700,480",0,"3,627,322","20,478,912",2012
30,Per Pupil,,"4,869","3,214",0,"1,740","9,822",2012
31,All Funds,,49.6 ,32.7 ,0.0 ,17.7 ,100.0 ,2012
32,ALAMOSA,SANGRE DE CRISTO RE-22J,,,,,,2012
33,Amount,,"1,960,773","1,480,137",0,"302,480","3,743,390",2012
34,Per Pupil,,"6,633","5,007",0,"1,023","12,664",2012
35,All Funds,,52.4 ,39.5 ,0.0 ,8.1 ,100.0 ,2012
36,ARAPAHOE,ENGLEWOOD 1,,,,,,2012
37,Amount,,"17,587,156","13,168,246","79,692","5,980,424","36,815,518",2012
38,Per Pupil,,"6,193","4,637",28,"2,106","12,964",2012
39,All Funds,,47.8 ,35.8 ,0.2 ,16.2 ,100.0 ,2012
40,ARAPAHOE,SHERIDAN 2,,,,,,2012
41,Amount,,"10,801,218","9,667,756","143,183","11,341,635","31,953,792",2012
42,Per Pupil,,"7,344","6,574",97,"7,712","21,727",2012
43,All Funds,,33.8 ,30.3 ,0.4 ,35.5 ,100.0 ,2012
44,ARAPAHOE,CHERRY CREEK 5,,,,,,2012
45,Amount,,"330,909,669","152,863,438","767,392","50,986,603","535,527,101",2012
46,Per Pupil,,"6,561","3,031",15,"1,011","10,618",2012
47,All Funds,,61.8 ,28.5 ,0.1 ,9.5 ,100.0 ,2012
48,ARAPAHOE,LITTLETON 6,,,,,,2012
49,Amount,,"86,794,549","52,998,671","3,930","13,772,282","153,569,434",2012
50,Per Pupil,,"5,832","3,561",0,925,"10,319",2012
51,All Funds,,56.5 ,34.5 ,0.0 ,9.0 ,100.0 ,2012
52,ARAPAHOE,DEER TRAIL 26J,,,,,,2012
53,Amount,,"1,357,709","937,452","22,796","54,116","2,372,072",2012
54,Per Pupil,,"8,371","5,780",141,334,"14,624",2012
55,All Funds,,57.2 ,39.5 ,1.0 ,2.3 ,100.0 ,2012
56,ARAPAHOE,ADAMS-ARAPAHOE 28J,,,,,,2012
57,Amount,,"200,674,335","147,642,301","1,326,773","37,766,625","387,410,034",2012
58,Per Pupil,,"5,409","3,980",36,"1,018","10,443",2012
59,All Funds,,51.8 ,38.1 ,0.3 ,9.7 ,100.0 ,2012
60,ARAPAHOE,BYERS 32J,,,,,,2012
61,Amount,,"2,853,993","1,852,690","46,011","417,671","5,170,366",2012
62,Per Pupil,,"5,504","3,573",89,806,"9,972",2012
63,All Funds,,55.2 ,35.8 ,0.9 ,8.1 ,100.0 ,2012
64,ARCHULETA,ARCHULETA COUNTY 50 JT,,,,,,2012
65,Amount,,"7,121,917","7,397,365",0,"1,064,617","15,583,900",2012
66,Per Pupil,,"4,913","5,103",0,734,"10,750",2012
67,All Funds,,45.7 ,47.5 ,0.0 ,6.8 ,100.0 ,2012
68,BACA,WALSH RE-1,,,,,,2012
69,Amount,,"1,133,545","954,801",0,"9,169","2,097,515",2012
70,Per Pupil,,"7,866","6,626",0,64,"14,556",2012
71,All Funds,,54.0 ,45.5 ,0.0 ,0.4 ,100.0 ,2012
72,BACA,PRITCHETT RE-3,,,,,,2012
73,Amount,,"606,775","583,207",0,0,"1,189,982",2012
74,Per Pupil,,"10,046","9,656",0,0,"19,702",2012
75,All Funds,,51.0 ,49.0 ,0.0 ,0.0 ,100.0 ,2012
76,BACA,SPRINGFIELD RE-4,,,,,,2012
77,Amount,,"1,721,448","1,137,949",0,"47,305","2,906,702",2012
78,Per Pupil,,"6,416","4,241",0,176,"10,834",2012
79,All Funds,,59.2 ,39.1 ,0.0 ,1.6 ,100.0 ,2012
80,BACA,VILAS RE-5,,,,,,2012
81,Amount,,"1,016,922","769,963",0,"26,814","1,813,698",2012
82,Per Pupil,,"4,678","3,542",0,123,"8,343",2012
83,All Funds,,56.1 ,42.5 ,0.0 ,1.5 ,100.0 ,2012
84,BACA,CAMPO RE-6,,,,,,2012
85,Amount,,"541,233","439,691","1,350",0,"982,274",2012
86,Per Pupil,,"11,516","9,355",29,0,"20,899",2012
87,All Funds,,55.1 ,44.8 ,0.1 ,0.0 ,100.0 ,2012
88,BENT,LAS ANIMAS RE-1,,,,,,2012
89,Amount,,"2,692,534","1,998,661",0,"217,967","4,909,162",2012
90,Per Pupil,,"5,175","3,841",0,419,"9,435",2012
91,All Funds,,54.8 ,40.7 ,0.0 ,4.4 ,100.0 ,2012
92,BENT,MCCLAVE RE-2,,,,,,2012
93,Amount,,"1,525,175","1,116,099",764,"141,100","2,783,138",2012
94,Per Pupil,,"5,771","4,223",3,534,"10,530",2012
95,All Funds,,54.8 ,40.1 ,0.0 ,5.1 ,100.0 ,2012
96,BOULDER,ST VRAIN VALLEY RE 1J,,,,,,2012
97,Amount,,"132,480,552","103,551,201","937,482","40,781,310","277,750,545",2012
98,Per Pupil,,"4,869","3,806",34,"1,499","10,208",2012
99,All Funds,,47.7 ,37.3 ,0.3 ,14.7 ,100.0 ,2012
100,BOULDER,BOULDER VALLEY RE 2,,,,,,2012
101,Amount,,"183,564,738","136,261,197","4,805,604","30,376,709","355,008,248",2012
102,Per Pupil,,"6,432","4,775",168,"1,064","12,440",2012
103,All Funds,,51.7 ,38.4 ,1.4 ,8.6 ,100.0 ,2012
104,CHAFFEE,BUENA VISTA R-31,,,,,,2012
105,Amount,,"5,682,589","4,002,157",0,"3,095,071","12,779,817",2012
106,Per Pupil,,"6,158","4,337",0,"3,354","13,849",2012
107,All Funds,,44.5 ,31.3 ,0.0 ,24.2 ,100.0 ,2012
108,CHAFFEE,SALIDA R-32,,,,,,2012
109,Amount,,"7,329,927","4,340,042",0,"2,302,801","13,972,770",2012
110,Per Pupil,,"6,749","3,996",0,"2,120","12,865",2012
111,All Funds,,52.5 ,31.1 ,0.0 ,16.5 ,100.0 ,2012
112,CHEYENNE,KIT CARSON R-1,,,,,,2012
113,Amount,,"1,205,614","998,356",0,"31,793","2,235,762",2012
114,Per Pupil,,"10,901","9,027",0,287,"20,215",2012
115,All Funds,,53.9 ,44.7 ,0.0 ,1.4 ,100.0 ,2012
116,CHEYENNE,CHEYENNE COUNTY RE-5,,,,,,2012
117,Amount,,"1,660,347","1,251,263",0,"727,675","3,639,286",2012
118,Per Pupil,,"9,559","7,204",0,"4,189","20,952",2012
119,All Funds,,45.6 ,34.4 ,0.0 ,20.0 ,100.0 ,2012
120,CLEAR CREEK,CLEAR CREEK RE-1,,,,,,2012
121,Amount,,"5,476,168","4,751,090",0,"2,076,496","12,303,754",2012
122,Per Pupil,,"6,139","5,326",0,"2,328","13,793",2012
123,All Funds,,44.5 ,38.6 ,0.0 ,16.9 ,100.0 ,2012
124,CONEJOS,NORTH CONEJOS RE-1J,,,,,,2012
125,Amount,,"5,721,444","3,634,156",0,0,"9,355,600",2012
126,Per Pupil,,"5,507","3,498",0,0,"9,004",2012
127,All Funds,,61.2 ,38.8 ,0.0 ,0.0 ,100.0 ,2012
128,CONEJOS,SANFORD 6J,,,,,,2012
129,Amount,,"1,859,731","1,170,811",0,"89,083","3,119,624",2012
130,Per Pupil,,"5,617","3,536",0,269,"9,422",2012
131,All Funds,,59.6 ,37.5 ,0.0 ,2.9 ,100.0 ,2012
132,CONEJOS,SOUTH CONEJOS RE-10,,,,,,2012
133,Amount,,"1,630,178","1,349,669",0,"40,975","3,020,821",2012
134,Per Pupil,,"6,784","5,617",0,171,"12,571",2012
135,All Funds,,54.0 ,44.7 ,0.0 ,1.4 ,100.0 ,2012
136,COSTILLA,CENTENNIAL R-1,,,,,,2012
137,Amount,,"1,092,926","1,120,145","60,807","6,884,370","9,158,247",2012
138,Per Pupil,,"5,138","5,266",286,"32,367","43,057",2012
139,All Funds,,11.9 ,12.2 ,0.7 ,75.2 ,100.0 ,2012
140,COSTILLA,SIERRA GRANDE R-30,,,,,,2012
141,Amount,,"1,700,971","1,761,854",0,"1,112,878","4,575,704",2012
142,Per Pupil,,"6,371","6,599",0,"4,168","17,137",2012
143,All Funds,,37.2 ,38.5 ,0.0 ,24.3 ,100.0 ,2012
144,CROWLEY,CROWLEY COUNTY RE-1-J,,,,,,2012
145,Amount,,"2,374,027","2,248,889",0,"562,816","5,185,732",2012
146,Per Pupil,,"4,994","4,731",0,"1,184","10,908",2012
147,All Funds,,45.8 ,43.4 ,0.0 ,10.9 ,100.0 ,2012
148,CUSTER,CONSOLIDATED C-1,,,,,,2012
149,Amount,,"2,245,767","1,639,112",0,"442,525","4,327,404",2012
150,Per Pupil,,"5,263","3,841",0,"1,037","10,142",2012
151,All Funds,,51.9 ,37.9 ,0.0 ,10.2 ,100.0 ,2012
152,DELTA,DELTA COUNTY 50(J),,,,,,2012
153,Amount,,"27,715,991","13,374,636",0,"4,153,773","45,244,399",2012
154,Per Pupil,,"5,505","2,656",0,825,"8,986",2012
155,All Funds,,61.3 ,29.6 ,0.0 ,9.2 ,100.0 ,2012
156,DENVER,DENVER COUNTY 1,,,,,,2012
157,Amount,,"474,517,651","382,873,858","26,598,350","758,392,218","1,642,382,077",2012
158,Per Pupil,,"6,143","4,956",344,"9,817","21,260",2012
159,All Funds,,28.9 ,23.3 ,1.6 ,46.2 ,100.0 ,2012
160,DOLORES,DOLORES COUNTY RE NO.2,,,,,,2012
161,Amount,,"1,764,589","1,375,288",0,"356,564","3,496,441",2012
162,Per Pupil,,"6,629","5,166",0,"1,339","13,135",2012
163,All Funds,,50.5 ,39.3 ,0.0 ,10.2 ,100.0 ,2012
164,DOUGLAS,DOUGLAS COUNTY RE 1,,,,,,2012
165,Amount,,"332,239,033","218,736,354","356,831","123,325,079","674,657,297",2012
166,Per Pupil,,"5,429","3,574",6,"2,015","11,024",2012
167,All Funds,,49.2 ,32.4 ,0.1 ,18.3 ,100.0 ,2012
168,EAGLE,EAGLE COUNTY RE 50,,,,,,2012
169,Amount,,"36,048,955","31,334,039","201,271","136,524,894","204,109,159",2012
170,Per Pupil,,"5,952","5,174",33,"22,542","33,700",2012
171,All Funds,,17.7 ,15.4 ,0.1 ,66.9 ,100.0 ,2012
172,ELBERT,ELIZABETH C-1,,,,,,2012
173,Amount,,"11,072,379","10,051,895","230,447","2,239,742","23,594,463",2012
174,Per Pupil,,"4,390","3,986",91,888,"9,355",2012
175,All Funds,,46.9 ,42.6 ,1.0 ,9.5 ,100.0 ,2012
176,ELBERT,KIOWA C-2,,,,,,2012
177,Amount,,"2,143,528","1,377,857",0,"365,637","3,887,022",2012
178,Per Pupil,,"6,050","3,889",0,"1,032","10,971",2012
179,All Funds,,55.1 ,35.4 ,0.0 ,9.4 ,100.0 ,2012
180,ELBERT,BIG SANDY 100J,,,,,,2012
181,Amount,,"2,152,759","1,199,882","2,387","215,813","3,570,840",2012
182,Per Pupil,,"7,212","4,020",8,723,"11,963",2012
183,All Funds,,60.3 ,33.6 ,0.1 ,6.0 ,100.0 ,2012
184,ELBERT,ELBERT 200,,,,,,2012
185,Amount,,"1,489,467","971,845",0,"65,082","2,526,394",2012
186,Per Pupil,,"6,950","4,535",0,304,"11,789",2012
187,All Funds,,59.0 ,38.5 ,0.0 ,2.6 ,100.0 ,2012
188,ELBERT,AGATE 300,,,,,,2012
189,Amount,,"313,302","401,500",0,"4,521","719,324",2012
190,Per Pupil,,"7,755","9,938",0,112,"17,805",2012
191,All Funds,,43.6 ,55.8 ,0.0 ,0.6 ,100.0 ,2012
192,EL PASO,CALHAN RJ-1,,,,,,2012
193,Amount,,"2,436,433","1,804,419",0,"141,013","4,381,864",2012
194,Per Pupil,,"4,780","3,540",0,277,"8,597",2012
195,All Funds,,55.6 ,41.2 ,0.0 ,3.2 ,100.0 ,2012
196,EL PASO,HARRISON 2,,,,,,2012
197,Amount,,"50,841,612","49,179,271","116,458","8,811,435","108,948,776",2012
198,Per Pupil,,"4,890","4,730",11,848,"10,479",2012
199,All Funds,,46.7 ,45.1 ,0.1 ,8.1 ,100.0 ,2012
200,EL PASO,WIDEFIELD 3,,,,,,2012
201,Amount,,"40,031,148","29,427,340","1,240,763","6,504,028","77,203,279",2012
202,Per Pupil,,"4,620","3,396",143,751,"8,910",2012
203,All Funds,,51.9 ,38.1 ,1.6 ,8.4 ,100.0 ,2012
204,EL PASO,FOUNTAIN 8,,,,,,2012
205,Amount,,"40,037,752","27,591,929","150,507","1,989,820","69,770,008",2012
206,Per Pupil,,"5,468","3,768",21,272,"9,528",2012
207,All Funds,,57.4 ,39.5 ,0.2 ,2.9 ,100.0 ,2012
208,EL PASO,COLORADO SPRINGS 11,,,,,,2012
209,Amount,,"151,377,046","130,288,126","947,038","116,584,430","399,196,639",2012
210,Per Pupil,,"5,403","4,650",34,"4,161","14,248",2012
211,All Funds,,37.9 ,32.6 ,0.2 ,29.2 ,100.0 ,2012
212,EL PASO,CHEYENNE MOUNTAIN 12,,,,,,2012
213,Amount,,"23,437,482","14,072,607","87,198","4,495,438","42,092,724",2012
214,Per Pupil,,"5,350","3,213",20,"1,026","9,609",2012
215,All Funds,,55.7 ,33.4 ,0.2 ,10.7 ,100.0 ,2012
216,EL PASO,MANITOU SPRINGS 14,,,,,,2012
217,Amount,,"7,767,247","5,429,369","9,075","777,200","13,982,891",2012
218,Per Pupil,,"5,433","3,798",6,544,"9,780",2012
219,All Funds,,55.5 ,38.8 ,0.1 ,5.6 ,100.0 ,2012
220,EL PASO,ACADEMY 20,,,,,,2012
221,Amount,,"118,822,344","78,960,290","84,986","22,544,373","220,411,993",2012
222,Per Pupil,,"5,230","3,475",4,992,"9,701",2012
223,All Funds,,53.9 ,35.8 ,0.0 ,10.2 ,100.0 ,2012
224,EL PASO,ELLICOTT 22,,,,,,2012
225,Amount,,"4,104,170","3,306,037",0,"773,748","8,183,956",2012
226,Per Pupil,,"4,312","3,474",0,813,"8,599",2012
227,All Funds,,50.1 ,40.4 ,0.0 ,9.5 ,100.0 ,2012
228,EL PASO,PEYTON 23 JT,,,,,,2012
229,Amount,,"2,755,330","2,104,846",0,"466,297","5,326,473",2012
230,Per Pupil,,"4,285","3,273",0,725,"8,284",2012
231,All Funds,,51.7 ,39.5 ,0.0 ,8.8 ,100.0 ,2012
232,EL PASO,HANOVER 28,,,,,,2012
233,Amount,,"1,559,803","1,490,865",0,"743,300","3,793,969",2012
234,Per Pupil,,"6,957","6,650",0,"3,315","16,922",2012
235,All Funds,,41.1 ,39.3 ,0.0 ,19.6 ,100.0 ,2012
236,EL PASO,LEWIS-PALMER 38,,,,,,2012
237,Amount,,"26,777,701","18,788,180","362,927","30,351,042","76,279,849",2012
238,Per Pupil,,"4,644","3,258",63,"5,264","13,229",2012
239,All Funds,,35.1 ,24.6 ,0.5 ,39.8 ,100.0 ,2012
240,EL PASO,FALCON 49,,,,,,2012
241,Amount,,"58,696,517","52,124,430","12,349","14,938,223","125,771,519",2012
