school,district_id,district_name,emh,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
HYGIENE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,4202,7,9,9,9,9,8,6,6,11,
MARRAMA ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,5578,7,5,6,6,3,9,9,6,9,
PINE LANE ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,6940,7,8,9,9,8,7,7,6,7,
RIDGEVIEW ELEMENTARY SCHOOL,1110,FALCON 49,E,7339,7,6,9,7,7,6,6,6,7,
SABIN WORLD SCHOOL,880,DENVER COUNTY 1,E,7554,7,5,6,5,5,9,7,9,7,
WEST GRAND ELEMENTARY SCHOOL,1340,WEST GRAND 1-JT.,E,9416,7,9,10,9,8,8,9,9,5,
WOODMEN HILLS ELEMENTARY SCHOOL,1110,FALCON 49,E,9706,7,9,9,9,9,6,6,6,6,
BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,E,555,7,7,9,7,6,6,6,6,5,
CARDINAL COMMUNITY ACADEMY CHARTER SCHOOL,3090,KEENESBURG RE-3(J),M,1299,7,9,6,9,7,7,9,5,9,
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,M,1869,7,7,4,6,,9,12,6,9,
MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL,1140,CANON CITY RE-1,E,6752,7,8,7,7,6,6,6,6,7,
WESTGATE CHARTER,20,ADAMS 12 FIVE STAR SCHOOLS,E,9431,7,9,9,7,9,3,3,3,5,
NORTH MESA ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,6354,7,7,9,7,6,6,8,6,5,
PRAIRIE RIDGE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,7157,7,6,9,6,6,6,6,6,6,
MOODY ELEMENTARY SCHOOL,140,LITTLETON 6,E,8064,7,8,9,6,6,6,9,6,6,
LA VETA ELEMENTARY SCHOOL,1400,LA VETA RE-2,E,4860,7,9,9,9,9,6,6,5,6,
MOUNTAIN VISTA COMMUNITY SCHOOL,980,HARRISON 2,M,6162,7,5,6,6,5,9,6,10,9,
FRUITA MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,3244,7,6,6,6,,7,6,9,6,
NORTHEAST ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,6396,7,9,10,9,9,7,7,9,6,
ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,1040,ACADEMY 20,E,17,7,9,10,8,9,7,6,8,6,
FORCE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,3032,7,3,4,3,3,12,8,12,11,
HEATHERWOOD ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,3882,7,12,10,10,10,6,6,5,6,
LETFORD ELEMENTARY SCHOOL,3110,JOHNSTOWN-MILLIKEN RE-5J,E,5078,7,7,8,9,7,7,6,6,9,
MADISON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,5404,7,9,9,9,8,6,6,6,6,
CARBON VALLEY ACADEMY,470,ST VRAIN VALLEY RE 1J,M,1284,7,6,3,6,6,9,7,7,9,
KIPP SUNSHINE PEAK ACADEMY,880,DENVER COUNTY 1,E,4732,7,2,6,5,5,10,8,12,10,
FIRESIDE ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,2940,7,9,9,7,6,7,6,6,8,
GUNNISON MIDDLE SCHOOL,1360,GUNNISON WATERSHED RE1J,M,3697,7,6,6,6,7,7,6,9,7,
MCAULIFFE ELEMENTARY SCHOOL,3120,GREELEY 6,E,5660,7,9,12,10,9,6,5,7,7,
MONTEREY ELEMENTARY SCHOOL,980,HARRISON 2,E,6018,7,5,6,5,6,9,6,10,9,
ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,E,15,7,9,9,8,6,6,6,6,6,
COLORADO SPRINGS CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,1791,7,9,9,7,9,5,6,6,5,
MURPHY CREEK K-8 SCHOOL,180,ADAMS-ARAPAHOE 28J,E,6189,7,6,7,6,6,8,6,11,6,
COTTONWOOD ELEMENTARY SCHOOL,2180,MONTROSE COUNTY RE-1J,E,1915,7,8,9,6,6,7,9,7,6,
CROWLEY COUNTY ELEMENTARY SCHOOL,770,CROWLEY COUNTY RE-1-J,E,2050,7,6,8,6,8,7,6,6,9,
FALCON ELEMENTARY SCHOOL,1110,FALCON 49,E,2902,7,8,9,6,10,6,6,6,6,
SAMUELS ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,7578,7,3,6,5,6,9,9,8,11,
TIMBERLINE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,8850,7,6,9,7,9,6,6,7,5,
COLUMBIA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,1798,7,6,6,6,6,7,11,6,6,
FOX RIDGE MIDDLE SCHOOL,130,CHERRY CREEK 5,M,3030,7,9,7,9,8,6,6,7,6,
SCOTT ELEMENTARY SCHOOL,3120,GREELEY 6,E,7700,7,6,6,6,6,8,6,10,6,
TRAILS WEST ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,8887,7,8,9,9,7,6,7,6,6,
WEST RIDGE ELEMENTARY,40,BRIGHTON 27J,E,9426,7,8,9,7,6,7,6,9,6,
ARROWHEAD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,348,7,6,7,7,6,8,8,6,9,
AUDUBON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,452,7,6,6,6,6,7,9,9,6,
CASTLE ROCK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,1362,7,7,7,6,9,7,6,9,9,
DE BEQUE ELEMENTARY SCHOOL,1980,DE BEQUE 49JT,E,2122,7,8,9,7,7,7,8,6,6,
CEDAREDGE ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,4182,7,7,9,8,9,6,8,6,6,
PIONEER ELEMENTARY SCHOOL,1040,ACADEMY 20,E,6960,7,6,7,6,8,9,7,7,9,
SOUTH ROUTT ELEMENTARY SCHOOL,2780,SOUTH ROUTT RE 3,E,8120,7,6,7,5,6,6,10,5,5,
STRASBURG ELEMENTARY SCHOOL,60,STRASBURG 31J,E,8328,7,6,8,6,8,6,9,6,6,
ASPEN CREEK K-8 SCHOOL,480,BOULDER VALLEY RE 2,E,441,7,9,10,9,10,6,5,6,6,
EDISON JUNIOR-SENIOR HIGH SCHOOL,1120,EDISON 54 JT,M,2526,7,11,7,9,11,6,7,6,7,
NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,480,BOULDER VALLEY RE 2,M,6212,7,7,6,8,9,9,9,10,6,
MESA ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,5834,7,3,5,2,3,12,12,12,7,
CRESTHILL MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,2012,7,9,8,9,9,6,5,8,6,
ESCALANTE MIDDLE SCHOOL,1520,DURANGO 9-R,M,7994,7,7,6,7,9,7,7,7,6,
ALPINE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,61,7,8,9,9,8,6,9,6,7,
RYAN ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,7528,7,6,7,6,7,6,6,6,9,
SALIDA MIDDLE SCHOOL,500,SALIDA R-32,M,4680,7,7,6,7,7,8,7,6,9,
ARICKAREE ELEMENTARY SCHOOL,3040,ARICKAREE R-2,E,304,7,12,11,10,9,5,6,4,6,
BOLTZ MIDDLE SCHOOL,1550,POUDRE R-1,M,898,7,6,7,8,6,6,6,8,6,
ROCK RIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,2232,7,6,8,6,6,6,6,6,6,
WOODMEN-ROBERTS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,9714,7,10,10,10,10,6,7,6,7,
LANDMARK ACADEMY AT REUNION,40,BRIGHTON 27J,M,4950,7,9,6,9,5,7,7,6,8,
MISSION VIEJO ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,5934,7,6,6,6,6,9,6,7,9,
ARAGON ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,3102,7,6,6,6,6,7,7,7,6,
BRISTOL ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,1032,7,6,8,6,4,9,7,7,9,
GRANBY ELEMENTARY SCHOOL,1350,EAST GRAND 2,E,3556,7,7,9,9,5,6,7,6,6,
SIMLA JUNIOR HIGH SCHOOL,940,BIG SANDY 100J,M,7918,7,6,6,8,9,7,6,6,10,
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,1869,7,8,8,8,8,5,6,5,6,
GOLD RUSH ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,266,7,9,9,9,8,6,6,6,6,
BURLINGTON ELEMENTARY SCHOOL,1500,BURLINGTON RE-6J,E,1144,7,6,7,6,,8,3,12,8,
CHERRELYN ELEMENTARY SCHOOL,120,ENGLEWOOD 1,E,1556,7,5,6,5,3,9,7,9,9,
CUSTER COUNTY ELEMENTARY SCHOOL,860,CUSTER COUNTY SCHOOL DISTR,E,2088,7,9,10,6,9,6,6,6,5,
PRAIRIE HILLS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,7159,7,9,8,7,9,6,6,6,6,
SEVERANCE MIDDLE SCHOOL,3100,WINDSOR RE-4,M,7755,7,7,7,9,7,6,6,7,6,
SOUTHMOOR ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,8138,7,9,9,9,9,6,6,6,6,
SUMMIT MIDDLE SCHOOL,3000,SUMMIT RE-1,M,8377,7,6,6,7,7,6,5,9,6,
COMMUNITY LEADERSHIP ACADEMY,30,ADAMS COUNTY 14,E,1882,7,6,7,7,5,7,6,6,9,
CHALLENGER MIDDLE SCHOOL,1040,ACADEMY 20,M,74,7,9,7,10,11,6,6,6,6,
PLATEAU VALLEY ELEMENTARY SCHOOL,1990,PLATEAU VALLEY 50,E,7024,7,6,6,5,6,9,9,6,9,
CHAPPELOW K-8 MAGNET SCHOOL,3120,GREELEY 6,M,1500,7,7,6,7,3,7,6,7,7,
RED HILL ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,37,7,6,7,6,6,8,9,6,9,
D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,2120,7,13,13,12,12,3,2,7,1,
CIMARRON MIDDLE,900,DOUGLAS COUNTY RE 1,M,264,7,9,8,9,9,6,5,7,6,
EUCLID MIDDLE SCHOOL,140,LITTLETON 6,M,2804,7,7,7,8,9,6,6,6,6,
POLTON COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,7102,7,6,7,6,6,6,5,6,6,
ELK CREEK ELEMENTARY,1195,GARFIELD RE-2,E,2573,7,6,8,6,,6,6,6,5,
LEO WILLIAM BUTLER ELEMENTARY SCHOOL,3140,WELD COUNTY S/D RE-8,E,5050,7,3,6,5,6,9,6,12,7,
LUMBERG ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,5354,7,5,6,5,3,9,6,12,9,
PATTERSON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,6808,7,6,6,6,9,9,9,7,8,
JOHN W THIMMIG ELEMENTARY SCHOOL,40,BRIGHTON 27J,E,8032,7,6,6,6,6,6,6,9,6,
SILVERTHORNE ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,8376,7,5,7,6,5,7,7,10,5,
THE DA VINCI ACADEMY SCHOOL,1040,ACADEMY 20,E,8813,7,9,9,9,9,6,6,6,7,
LINCOLN ELEMENTARY SCHOOL,1140,CANON CITY RE-1,E,5166,7,6,6,6,6,6,6,6,6,
NEEDHAM ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,6222,7,7,7,6,7,6,6,6,7,
SOUTH MIDDLE SCHOOL,180,ADAMS-ARAPAHOE 28J,M,8078,7,3,2,4,3,9,10,8,7,
MESA VALLEY VISION HOME AND COMMUNITY PROGRAM,2000,MESA COUNTY VALLEY 51,M,5828,7,7,6,9,6,8,9,6,7,
FRANKTOWN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,3172,7,10,10,9,9,7,8,7,7,
HIGHLAND MIDDLE SCHOOL,3145,AULT-HIGHLAND RE-9,M,3961,7,6,6,7,6,9,7,10,8,
OLATHE MIDDLE SCHOOL,2180,MONTROSE COUNTY RE-1J,M,6490,7,4,2,5,5,9,9,7,8,
RANCH CREEK ELEMENTARY,1040,ACADEMY 20,E,7247,7,9,9,9,9,6,6,6,6,
STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,E,653,7,8,10,7,6,5,6,5,6,
SKY VISTA MIDDLE SCHOOL,130,CHERRY CREEK 5,M,141,7,7,6,8,9,7,6,7,6,
BLEVINS MIDDLE SCHOOL,1550,POUDRE R-1,M,892,7,6,6,6,7,7,6,9,6,
CHARLES HAY WORLD SCHOOL,120,ENGLEWOOD 1,E,1514,7,6,7,7,6,6,6,6,8,
OBERON JUNIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,6470,7,8,6,9,9,6,6,9,6,
PROSPECT VALLEY ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,7190,7,9,7,8,9,6,7,6,6,
WHITTIER ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,9544,7,6,9,6,9,6,6,6,6,
BAYFIELD ELEMENTARY SCHOOL,1530,BAYFIELD 10 JT-R,E,632,7,7,9,6,8,6,6,6,5,
DOULL ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,2258,7,3,5,3,1,10,9,9,12,
STOTT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,8300,7,7,6,6,8,6,9,6,7,
HOWELL K-8 SCHOOL,880,DENVER COUNTY 1,M,4140,7,2,2,3,3,12,9,12,10,
WINDSOR CHARTER ACADEMY,3100,WINDSOR RE-4,M,9665,7,10,6,11,8,6,6,5,9,
THE PINNACLE CHARTER SCHOOL ELEMENTARY,8001,CHARTER SCHOOL INSTITUTE,E,654,7,6,6,6,6,7,6,9,6,
KIOWA ELEMENTARY SCHOOL,930,KIOWA C-2,E,4724,7,6,6,6,6,9,6,12,6,
O'DEA ELEMENTARY SCHOOL,1550,POUDRE R-1,E,6476,7,7,7,6,6,7,6,6,8,
BROMLEY EAST CHARTER SCHOOL,40,BRIGHTON 27J,E,1052,7,7,6,6,6,6,6,6,6,
CENTENNIAL MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,1390,7,9,7,9,9,8,9,6,6,
LA JARA ELEMENTARY SCHOOL,550,NORTH CONEJOS RE-1J,E,4836,7,9,9,9,8,6,5,5,7,
LESHER MIDDLE SCHOOL,1550,POUDRE R-1,M,5068,7,7,7,9,9,6,5,6,6,
SOUTH MESA ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,8110,7,7,8,7,9,6,6,6,5,
TWAIN ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,5576,7,5,6,5,5,7,6,9,6,
SHANNER ELEMENTARY SCHOOL,2670,HOLLY RE-3,E,7794,7,7,7,7,6,7,9,6,9,
TRAYLOR ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,8888,7,6,6,6,5,6,6,9,5,
EAGLESIDE ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,3027,7,6,9,7,7,6,5,6,6,
RUSSELL MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,7523,7,6,6,6,6,7,7,8,6,
STEDMAN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,8232,7,3,5,3,4,10,7,10,12,
MERINO JUNIOR SENIOR HIGH SCHOOL,1860,BUFFALO RE-4J,M,5806,7,6,6,6,7,6,6,6,5,
BENNETT MIDDLE SCHOOL,50,BENNETT 29J,M,774,7,6,6,7,6,7,6,8,8,
DOLORES MIDDLE SCHOOL,2055,DOLORES RE-4A,M,2206,7,7,6,6,7,6,6,9,6,
OAK CREEK ELEMENTARY SCHOOL,980,HARRISON 2,E,6460,7,5,6,6,5,6,6,6,7,
WAYNE CARLE MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,9299,7,7,6,6,9,7,6,9,5,
WEST MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,9406,7,6,6,6,6,7,6,9,6,
GYPSUM ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,3710,6,6,6,6,6,9,9,9,8,
JOHNSON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,4456,6,8,8,6,7,7,6,6,6,
MURPHY CREEK K-8 SCHOOL,180,ADAMS-ARAPAHOE 28J,M,6189,6,6,6,6,6,9,7,9,6,
STANSBERRY ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,7650,6,9,9,9,6,6,6,6,6,
ESTES PARK K-5 SCHOOL,1570,PARK (ESTES PARK) R-3,E,2790,6,6,7,6,8,8,7,9,7,
KING ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,5604,6,9,9,9,8,6,6,5,6,
PATRIOT ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,6338,6,6,8,6,7,6,5,6,6,
STETSON ELEMENTARY SCHOOL,1110,FALCON 49,E,8266,6,7,8,9,7,6,5,5,6,
FLEMING HIGH SCHOOL,1850,FRENCHMAN RE-3,M,2988,6,10,6,10,9,6,7,1,9,
PIKES PEAK SCHOOL EXPEDITIONARY LEARNING,1110,FALCON 49,M,6935,6,9,6,7,6,7,9,6,6,
ATLAS PREPARATORY SCHOOL,980,HARRISON 2,E,469,6,6,6,6,6,7,5,11,6,
MILLER MIDDLE SCHOOL,1520,DURANGO 9-R,M,5888,6,9,6,9,10,8,7,7,7,
NAMAQUA ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,6194,6,7,7,7,7,6,6,6,6,
PONDEROSA ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,7116,6,6,6,6,6,7,6,8,7,
SKYVIEW ELEMENTARY SCHOOL,3100,WINDSOR RE-4,E,7958,6,9,9,9,10,6,6,6,6,
OMAR D BLAIR CHARTER SCHOOL,880,DENVER COUNTY 1,M,6508,6,6,5,6,6,9,7,10,9,
NORTH FORK VISION SCHOOL,870,DELTA COUNTY 50(J),M,9146,6,6,3,6,5,9,11,6,8,
ORCHARD MESA MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,6562,6,6,5,6,7,9,9,10,9,
PUEBLO WEST ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,7210,6,6,7,6,6,6,6,5,9,
DAKOTA VALLEY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,2094,6,7,8,6,7,5,6,6,6,
LAFAYETTE ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,4874,6,7,7,6,9,6,6,7,6,
EDISON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,2506,6,7,7,8,7,6,7,4,9,
CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK,480,BOULDER VALLEY RE 2,E,5606,6,5,6,6,6,8,7,9,6,
D C S MONTESSORI CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,5997,6,12,9,10,10,5,6,2,6,
MOUNTAINSIDE ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,6138,6,6,6,6,5,7,6,9,6,
MOUNTAIN VIEW ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,6156,6,5,6,6,5,6,9,5,6,
MOUNTAIN RIDGE MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,6164,6,9,8,10,9,5,5,6,5,
WOODGLEN ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,9682,6,6,6,6,6,7,6,6,7,
PRAIRIE WINDS ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,7153,6,8,9,7,6,5,6,3,6,
BAUDER ELEMENTARY SCHOOL,1550,POUDRE R-1,E,612,6,6,7,6,6,7,7,7,7,
SKYVIEW MIDDLE SCHOOL,1110,FALCON 49,M,7960,6,6,6,7,6,6,5,7,6,
ADVENTURE ELEMENTARY,10,MAPLETON 1,E,507,6,2,3,3,3,12,10,12,10,
FALCON BLUFFS MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,2963,6,9,7,9,10,6,6,6,6,
FOOTHILLS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,3025,6,6,6,6,7,6,8,6,6,
FREMONT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,3218,6,6,7,6,7,6,6,6,5,
HAMILTON MIDDLE SCHOOL,880,DENVER COUNTY 1,M,3746,6,7,6,9,7,7,9,6,9,
SIERRA VISTA ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,7886,6,9,9,9,6,6,9,3,7,
TURNER MIDDLE SCHOOL,1560,THOMPSON R2-J,M,8925,6,9,7,9,9,6,5,7,3,
SWALLOWS CHARTER ACADEMY,2700,PUEBLO COUNTY 70,E,8420,6,7,8,6,6,6,6,6,6,
DOS RIOS ELEMENTARY SCHOOL,3120,GREELEY 6,E,2222,6,5,6,5,5,6,6,9,5,
FORT MORGAN MIDDLE SCHOOL,2405,FORT MORGAN RE-3,M,3074,6,5,2,6,6,9,9,8,9,
GRANT RANCH K-8 SCHOOL,880,DENVER COUNTY 1,E,3605,6,6,6,6,6,7,6,7,6,
SWINK JUNIOR-SENIOR HIGH SCHOOL,2570,SWINK 33,M,8456,6,8,6,6,7,7,10,6,6,
VALDEZ ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,408,6,2,3,3,1,11,9,12,8,
BEULAH ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,852,6,9,11,6,7,6,5,6,6,
CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,140,LITTLETON 6,E,1382,6,6,6,6,6,6,8,5,6,
PAWNEE ELEMENTARY SCHOOL,3148,PAWNEE RE-12,E,3672,6,8,9,7,6,6,6,5,6,
IDALIA ELEMENTARY SCHOOL,3220,IDALIA RJ-3,E,4227,6,6,6,6,,6,3,7,9,
HOMESTAKE PEAK SCHOOL,910,EAGLE COUNTY RE 50,E,5742,6,5,6,6,6,8,9,7,6,
HI PLAINS ELEMENTARY SCHOOL,1460,HI-PLAINS R-23,E,9164,6,9,9,6,6,6,6,6,3,
WALT CLARK MIDDLE SCHOOL,1560,THOMPSON R2-J,M,9228,6,6,6,6,6,7,9,6,7,
KUNSMILLER CREATIVE ARTS ACADEMY,880,DENVER COUNTY 1,E,4795,6,3,5,5,5,7,6,9,6,
EDGEWATER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,2496,6,4,6,5,3,10,9,12,7,
LOCHBUIE ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),E,3090,6,6,7,6,6,6,6,6,7,
GARNET MESA ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,3330,6,6,9,6,6,6,6,6,6,
PEIFFER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,6844,6,8,6,9,6,6,9,5,6,
REMINGTON ELEMENTARY SCHOOL,1110,FALCON 49,E,7317,6,6,6,6,7,6,6,6,6,
STRATMOOR HILLS ELEMENTARY SCHOOL,980,HARRISON 2,E,8337,6,5,6,6,6,8,6,6,9,
AURORA FRONTIER K-8,180,ADAMS-ARAPAHOE 28J,E,465,6,6,7,6,6,6,6,6,6,
EAGLEVIEW MIDDLE SCHOOL,1040,ACADEMY 20,M,2358,6,9,6,9,9,6,6,6,7,
ENGLEWOOD LEADERSHIP ACADEMY,120,ENGLEWOOD 1,M,2750,6,12,7,12,12,6,6,3,9,
MOREY MIDDLE SCHOOL,880,DENVER COUNTY 1,M,6098,6,6,6,8,7,8,7,7,9,
CORTEZ MIDDLE SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,M,1888,6,5,5,6,6,9,7,8,9,
MOORE K-8 SCHOOL,880,DENVER COUNTY 1,E,6088,6,5,6,5,5,7,6,9,7,
PITT-WALLER K-8 SCHOOL,880,DENVER COUNTY 1,M,6970,6,5,3,5,5,9,8,11,7,
RIFLE MIDDLE SCHOOL,1195,GARFIELD RE-2,E,7356,6,5,6,6,6,9,9,7,9,
COMMUNITY MONTESSORI SCHOOL,480,BOULDER VALLEY RE 2,E,1883,6,9,7,7,10,6,6,7,6,
DENISON MONTESSORI SCHOOL,880,DENVER COUNTY 1,E,2174,6,6,6,6,6,9,8,9,9,
CALHAN MIDDLE SCHOOL,970,CALHAN RJ-1,M,1215,6,6,6,7,8,6,6,6,6,
PLATEAU VALLEY MIDDLE SCHOOL,1990,PLATEAU VALLEY 50,M,7028,6,6,5,7,6,7,8,6,7,
GOODNIGHT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,M,1504,6,9,8,9,9,6,6,5,6,
ROCKY MOUNTAIN ACADEMY OF EVERGREEN,1420,JEFFERSON COUNTY R-1,E,7462,6,10,12,9,12,2,3,3,3,
LIBERTY MIDDLE SCHOOL,130,CHERRY CREEK 5,M,18,6,8,6,9,8,7,9,6,8,
FREMONT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,3216,6,6,7,6,6,7,8,6,6,
JENKINS MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,4424,6,9,7,9,9,6,6,6,6,
KIOWA MIDDLE SCHOOL,930,KIOWA C-2,M,4726,6,9,6,8,7,6,9,6,5,
MEAD ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,5726,6,6,7,6,9,6,5,6,6,
VALLEY VIEW K-8,10,MAPLETON 1,M,9036,6,6,5,8,3,8,6,6,9,
WOODROW WILSON CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,E,9427,6,7,11,9,6,4,2,6,5,
LINTON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,5196,6,6,7,7,7,6,7,6,6,
HEMPHILL MIDDLE SCHOOL,60,STRASBURG 31J,M,8332,6,6,4,7,7,6,7,5,8,
WILMORE DAVIS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,9638,6,6,6,6,7,7,9,6,7,
ORTEGA MIDDLE SCHOOL,100,ALAMOSA RE-11J,M,114,6,6,3,6,6,8,9,6,9,
BELL MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,694,6,6,6,6,8,7,9,6,6,
BRIGGSDALE ELEMENTARY SCHOOL,3146,BRIGGSDALE RE-10,E,1008,6,7,10,9,9,5,1,6,6,
DEER TRAIL ELEMENTARY SCHOOL,170,DEER TRAIL 26J,E,2136,6,10,10,9,9,6,5,6,5,
ELIZABETH MIDDLE SCHOOL,920,ELIZABETH C-1,M,2604,6,8,6,9,9,6,6,6,6,
JORDAHL ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,4474,6,8,9,9,9,6,6,5,6,
SPRINGS RANCH ELEMENTARY SCHOOL,1110,FALCON 49,E,8010,6,8,9,8,7,6,6,5,6,
TIMBERVIEW MIDDLE SCHOOL,1040,ACADEMY 20,M,8851,6,9,7,9,9,6,6,6,6,
WIGGINS MIDDLE SCHOOL,2515,WIGGINS RE-50(J),M,9263,6,8,6,7,8,6,8,6,6,
COLUMBINE ELEMENTARY SCHOOL,3020,WOODLAND PARK RE-2,E,9698,6,8,7,6,9,6,5,5,6,
ASPEN CREEK K-8 SCHOOL,480,BOULDER VALLEY RE 2,M,441,6,9,6,9,9,6,6,6,5,
